location_id,osm_type,osm_id,btcmap_url,name,category,street,housenumber,postcode,city,lat,lon,website,opening_hours,bitcoin_payment_status,status_note_public,last_verified_at,verified_by_count,verification_confidence,bounty_base_sats,bounty_critical_sats,bounty_new_entry_sats,eligible_now,last_check_id,last_updated_at,source_last_update,source_last_update_tag,cooldown_until,cooldown_days_left,eligible_for_check
DE-BE-00034,node,10118305052,https://www.openstreetmap.org/node/10118305052,Fulmo GmbH,company,Eberswalder Straße,6-9,10437,Berlin,52.5408009,13.4068129,https://shop.fulmo.org/,,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2022-10-21,survey:date,2023-01-19,0,yes
DE-BE-00035,node,10134931577,https://www.openstreetmap.org/node/10134931577,KOSAE jewellery & design,jewelry,Fehrbelliner Straße,23,10119,Berlin,52.533571,13.4036851,,,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2022-10-28,survey:date,2023-01-26,0,yes
DE-BE-00036,node,10161806420,https://www.openstreetmap.org/node/10161806420,Lahuge,yes,Wotanstraße,7a,10365,Berlin,52.515759,13.4968142,https://lahuge.com,,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2022-11-06,survey:date,2023-02-04,0,yes
DE-BE-00037,node,10272682416,https://www.openstreetmap.org/node/10272682416,nexondo,computer,Fehrbelliner Straße,29,10119,Berlin,52.5342249,13.4020906,https://nexondo.de/,24/7,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,,,,0,yes
DE-BE-00038,node,10277742928,https://www.openstreetmap.org/node/10277742928,Fahrzeugpflege Laabs,car_wash,Schützenstraße,9,12529,Schönefeld,52.3960596,13.5323935,https://www.fahrzeugpflege-laabs.de,Mo-Fr 08:00-16:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,,,,0,yes
DE-BE-00039,node,10297995578,https://www.openstreetmap.org/node/10297995578,Physiotherapie Alexandros Swoch,other,Auguste-Viktoria-Straße,7,14193,Berlin,52.4917336,13.2906484,https://fuessiotherapie.de,Mo-Fr 08:00-20:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,,,,0,yes
DE-BE-00040,node,10313585322,https://www.openstreetmap.org/node/10313585322,Café Holzmarktperle,cafe,Holzmarktstraße,25,10243,Berlin,52.511438,13.4268672,,Mo-Fr 10:30-19:00; Sa-So 11:00-19:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2023-07-06,survey:date,2023-10-04,0,yes
DE-BE-00041,node,10698030584,https://www.openstreetmap.org/node/10698030584,CI Space,coworking,Bugenhagenstraße,9,10551,Berlin,52.5280242,13.3417811,https://cispace.isaci.com,Mo-Sa 10:00-22:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-06-05,survey:date,2024-09-03,0,yes
DE-BE-00042,node,10980836247,https://www.openstreetmap.org/node/10980836247,Praxis für Hypnosetherapie & Mentalcoaching Lukas Plath,other,Kochstraße,8,14612,Falkensee,52.5642157,13.0881227,,,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2023-03-01,survey:date,2023-05-30,0,yes
DE-BE-00043,node,11061882780,https://www.openstreetmap.org/node/11061882780,B-touched Yoga by Bianca,fitness_centre,Königsbacher Zeile,23,13465,Berlin,52.6402199,13.295109,https://b-touched-yoga.com/,,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2023-07-22,check_date,2023-10-20,0,yes
DE-BE-00044,node,11183254526,https://www.openstreetmap.org/node/11183254526,Liebener Coaching,yes,Petersburger Straße,3,10249,Berlin,52.525895,13.4489086,https://www.liebener-coaching.de/,,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2023-09-11,check_date,2023-12-10,0,yes
DE-BE-00045,node,11377463070,https://www.openstreetmap.org/node/11377463070,TexuCrafts - Durable Leather Goods,leather,Herzbergstraße,55,10365,Berlin,52.5255245,13.4981627,https://www.texucrafts.com,"""Workshop visit by appointment / Werkstattbesuch nach Vereinbarung""",unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2023-11-26,check_date,2024-02-24,0,yes
DE-BE-00046,node,11377463071,https://www.openstreetmap.org/node/11377463071,Karmen Kraft,art,Herzbergstraße,55,10365,Berlin,52.5259171,13.4980609,https://www.karmenkraft.com/,"""Atelierbesuch nach Vereinbarung / Studio visit by appointment""",unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2023-11-26,check_date,2024-02-24,0,yes
DE-BE-00047,node,11607323999,https://www.openstreetmap.org/node/11607323999,Sattler factory,saddler,Berliner Straße,50,14467,Potsdam,52.4092521,13.079092,https://www.sattler-factory.de/,"""Termine nach Vereinbarung""",unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-02-10,check_date,2024-05-10,0,yes
DE-BE-00048,node,11701009756,https://www.openstreetmap.org/node/11701009756,Luca Hiller 21Answers.de,consulting,Oranienburger Straße,44,16540,Hohen Neuendorf,52.6776948,13.2805104,https://21answers.de/,Mo-Fr 09:00-17:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-01-03,survey:date,2024-04-02,0,yes
DE-BE-00049,node,11861712699,https://www.openstreetmap.org/node/11861712699,"Martina Lubanski, Grafik Design, Art Direktorin",graphic_design,Willmanndamm,10,10827,Berlin,52.4907057,13.3631375,https://martinalubanski.com/,,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-04-28,survey:date,2024-07-27,0,yes
DE-BE-00050,node,11918209446,https://www.openstreetmap.org/node/11918209446,Zimt & Pfeffer,spices,,,,Berlin,52.512325,13.4176575,https://zimtundpfeffer.com/,"Mo-Fr 10:30-18:30,Sa 11:00-16:30; PH off",unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-05-22,check_date,2024-08-20,0,yes
DE-BE-00051,node,11931158041,https://www.openstreetmap.org/node/11931158041,Fotostudio Kreuzberg,photographer,Manteuffelstraße,77,10999,Berlin,52.4976631,13.4252092,https://fotostudio-kreuzberg.de/,Mo-Fr 11:00-19:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-05-24,check_date,2024-08-22,0,yes
DE-BE-00052,node,12009761189,https://www.openstreetmap.org/node/12009761189,Tante Tom Selbstbedienungsladen,gift,Hermsdorfer Damm,169,13467,Berlin,52.6188846,13.303273,https://www.tante-tom.de/,Mo-Su 10:00-19:00 (mostly),unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,,,,0,yes
DE-BE-00053,node,12059901314,https://www.openstreetmap.org/node/12059901314,BeLUG e.V.,hackerspace,Lehrter Straße,53,10557,Berlin,52.5344905,13.3585006,https://belug.de/,We 18:00-21:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-07-17,check_date,2024-10-15,0,yes
DE-BE-00054,node,12109126626,https://www.openstreetmap.org/node/12109126626,BicaBerlin Coffee,cafe,Pasteurstraße,36,10407,Berlin,52.5320764,13.4362759,,Sa 08:30-15:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-08-31,check_date,2024-11-29,0,yes
DE-BE-00055,node,12170692127,https://www.openstreetmap.org/node/12170692127,Steinberg Imkerei,beekeeper,Rosentreterpromenade,21,13437,Berlin,52.5958764,13.316332,,,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,,,,0,yes
DE-BE-00056,node,12219015529,https://www.openstreetmap.org/node/12219015529,RML,construction_company,Döbelner Straße,4,12627,Berlin,52.5294096,13.6148571,https://rml-bau.de/,,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-10-03,check_date,2025-01-01,0,yes
DE-BE-00057,node,12277896916,https://www.openstreetmap.org/node/12277896916,David Tenorio Tattoo,tattoo,Riemannstraße,3,10961,Berlin,52.490285,13.393468,https://www.davidtenorioart.com/,We 16:00-19:00,unknown,,,0,low,10000,21000,21000,yes,,2026-01-25,2024-10-22,check_date,2025-01-20,0,yes
